"X1"	"X2"	"X4"	"X5"	"X6"	"X7"	"X8"	"X9"	"X10"	"X11"	"X12"	"X13"	"X14"	"X15"	"X16"	"X17"
"1000"	-0.9	-0.9	6.88081716973167e-06	4.26895339825535e-06	1.52727718841258e-06	2.14169018306721e-06	0.000227190838921413	0.000235270359364071	0.000201205754592029	0.000223384738502748	-0.477200316277258	0.0137967478545713	0.990920294581593	0.996316080297863	1.03556270350079	1.11023036570544
"2000"	-0.9	-0.8	2.36944877768333e-05	3.36644040499167e-05	1.63164595647616e-05	1.42501983063076e-05	0.000193131601303536	0.000283115328426415	0.00022286640444396	0.000232719481566259	-0.299638956141853	-0.298352729448131	0.946358973934932	0.968947793066362	1.46591923080188	1.04421068822321
"3000"	-0.9	-0.7	4.94428541902352e-05	4.36378503410441e-05	3.98360214171716e-05	2.55385688595705e-05	0.000161280203854015	0.000199430913672011	0.000159702931733565	0.000171968999910267	-0.277099658046489	-0.157392838240087	0.883980857901346	0.923632357870499	1.23654924104963	1.0768055291381
"4000"	-0.9	-0.6	8.57333450894733e-05	8.34852575567817e-05	6.63081221322722e-05	8.1885369381988e-05	0.000217825983250416	0.000286840062319705	0.000259097504303504	0.000215980582341937	-0.24180336068372	-0.368489224101946	0.842488170326341	0.831067886120068	1.31683125235775	0.833588046023553
"5000"	-0.9	-0.5	0.000205890969438065	0.000129119566230208	0.000236823638648355	0.000127401117342832	0.000308599009024557	0.000439021315701953	0.000285553879624045	0.000318649655454665	-0.0509879485562222	-0.145389022262762	0.840175810982103	0.790328592543716	1.42262710787583	1.11590028429728
"6000"	-0.9	-0.4	0.000261876438999483	0.000280060280391754	0.000200267227419485	0.000221280737105308	0.000339555399830087	0.000473061435716955	0.000342858134248308	0.000210134497280724	-0.326569892794539	-0.348897068624308	0.664387794869563	0.61790988447304	1.39317895092723	0.612890511527251
"7000"	-0.9	-0.3	0.000319986166242264	0.000496215105614533	0.000284360818837331	0.000244841729792943	0.000375461561119926	0.000578489247558336	0.00036392389772006	0.000238807992430141	-0.43410438702599	-0.399900888546816	0.491082441593587	0.607001893966317	1.54074160303606	0.656203107095315
"8000"	-0.9	-0.2	0.000497140128112349	0.000687521571345633	0.000444606055382213	0.000431680818990683	0.000528076320041052	0.000761224465066188	0.000700882521237326	0.000258088122122429	-0.40016409404513	-0.283195854299909	0.474572393793597	0.619887346138289	1.44150463896395	0.368233069454785
"9000"	-0.9	-0.1	0.000679126188400699	0.000774063906468332	0.000645645709384981	0.000499043600071066	0.000685919868942442	0.00098502775259977	0.000605512696759418	0.00018568974820078	-0.330115106105883	-0.24015108119931	0.545563388225889	0.435645720737125	1.43606825986612	0.306665325425138
"10000"	-0.9	0	0.000748967172742514	0.00105518835193645	0.00078608622185014	0.0009260527680058	0.000748967172742514	0.00140370569474124	0.00118016761274533	0.000222873188729298	-0.225227663852481	-0.366505040273708	0.535178901041511	0.465025457425392	1.87418854367309	0.188848758703728
