"V1"	"V2"	"V3"	"V4"	"V5"
"1"	100	1	-0.0921683324811757	0.0121531711146176	-0.0800151613665581
"2"	100	1	-0.356432052992097	0.469314795682012	0.112882742689916
"3"	100	1	0.136156860596655	-0.0762193952869192	0.0599374653097362
"4"	100	1	-0.217803649129596	0.161386292316741	-0.0564173568128541
"5"	100	1	0.193604921454414	-0.302019815529847	-0.108414894075433
"6"	100	1	0.101870183026665	-0.196501963071198	-0.0946317800445323
"7"	100	1	-0.221150701208037	0.203022004098652	-0.0181286971093849
"8"	100	1	-0.40042434566206	0.383590543201654	-0.0168338024604061
"9"	100	1	0.822653365286627	-0.81741786969092	0.00523549559570727
"10"	100	1	-0.194345905271738	0.154549572771566	-0.0397963325001724
"11"	100	1	-0.473487732537452	0.387704037097814	-0.0857836954396382
"12"	100	1	-0.144887383157884	0.245554345676074	0.100666962518189
"13"	100	1	0.0915636813704292	0.0214252552018739	0.112988936572303
"14"	100	1	0.269615554033543	-0.380395464814997	-0.110779910781454
"15"	100	1	-0.0511778311034434	0.0255433470027576	-0.0256344841006858
"16"	100	1	0.239148572124753	-0.207251719240404	0.0318968528843487
"17"	100	1	0.250548918799557	-0.297503184549937	-0.0469542657503803
"18"	100	1	0.3334305023153	-0.332346295675488	0.00108420663981117
"19"	100	1	-0.162939936932397	0.207947199658372	0.0450072627259753
"20"	100	1	0.0801046858306009	-0.120367702204702	-0.0402630163741014
"21"	100	1	0.082259344746053	-0.057989322741835	0.024270022004218
"22"	100	1	0.192610496432989	-0.203102245531112	-0.0104917490981225
"23"	100	1	0.310457672409141	-0.330421571422481	-0.0199638990133404
"24"	100	1	-0.279732224527849	0.261901141049738	-0.0178310834781106
"25"	100	1	0.0808588169273428	-0.15089921521583	-0.070040398288487
"26"	100	1	-0.163612156292067	0.164382425429893	0.000770269137826261
"27"	100	1	-0.27864575601285	0.275873650734833	-0.0027721052780165
"28"	100	1	-0.191527035562615	0.200639362219599	0.00911232665698379
"29"	100	1	0.466385246675681	-0.443736168934723	0.0226490777409573
"30"	100	1	-0.208304693177574	0.256241856411565	0.0479371632339918
"31"	100	1	0.0295594596315111	-0.0722685423288735	-0.0427090826973623
"32"	100	1	-0.0440065756990596	0.0750216494680828	0.0310150737690232
"33"	100	1	0.225256016878021	-0.311735121073904	-0.0864791041958834
"34"	100	1	0.0812291157174777	-0.0938579394172745	-0.0126288236997968
"35"	100	1	-0.0124446204183518	0.00317912075161277	-0.00926549966673905
"36"	100	1	-0.0107344864640729	0.0609733772378404	0.0502388907737675
"37"	100	1	0.0804457838804087	-0.121775708146398	-0.0413299242659891
"38"	100	1	0.00890606288622241	-0.0898022159385693	-0.0808961530523469
"39"	100	1	-0.218392911284555	0.105297355145225	-0.11309555613933
"40"	100	1	-0.072420754077135	0.0620997191296979	-0.0103210349474371
"41"	100	1	0.401437654118624	-0.325454289827655	0.0759833642909691
"42"	100	1	0.17036941773439	-0.111008852977646	0.0593605647567437
"43"	100	1	0.208737763398012	-0.265867026177254	-0.0571292627792422
"44"	100	1	-0.17045566889204	0.129403606064497	-0.0410520628275429
"45"	100	1	0.00648068485000883	-0.0493853614084389	-0.0429046765584301
"46"	100	1	-0.247333103236049	0.333546224153424	0.0862131209173752
"47"	100	1	-0.395908108059629	0.342386421982722	-0.0535216860769068
"48"	100	1	0.558535370129154	-0.448873270068764	0.109662100060389
"49"	100	1	-0.200043450426105	0.152609972489498	-0.0474334779366068
"50"	100	1	-0.0569861396722917	0.190692972883269	0.133706833210977
"51"	100	1	0.290272541779435	-0.233311831455072	0.0569607103243624
"52"	100	1	0.0720784584083301	0.00554958078330836	0.0776280391916385
"53"	100	1	0.437367442879618	-0.522325174047235	-0.0849577311676176
"54"	100	1	-0.0903245874938076	0.0312772067105725	-0.0590473807832351
