"V1"	"V2"	"V3"	"V4"	"V5"	"V6"
"1"	100	1	100	4.50368647528243e-05	5.98121317125765e-05	0.000104932551264102
"2"	100	1	200	0.000162449855589729	8.78380108500245e-05	0.00025027201876125
"3"	100	1	300	0.000240568555330886	0.000191255489130233	0.000414364107004727
"4"	100	1	400	0.000320023490883754	0.000284135372307949	0.000599123923177653
"5"	100	1	500	0.000464270858382613	0.000365949754501616	0.000716237804022191
"6"	100	1	600	0.000598337244038799	0.000434055991599429	0.000878931182834907
"7"	100	1	700	0.000676306146080843	0.000537661051660619	0.000983401435358831
"8"	100	1	800	0.000748295963674927	0.000629014571374499	0.00109409249243063
"9"	100	1	900	0.000777164935859657	0.00073000495463049	0.00121274843281568
"10"	100	1	1000	0.000867901998685638	0.000774409523177566	0.00121348510001873
"11"	100	1	1100	0.000971991153513996	0.000811303538072079	0.00135750928054543
"12"	100	1	1200	0.00108638883805995	0.0008125455692011	0.00140732504901106
"13"	100	1	1300	0.00115632256123607	0.000914196089806778	0.00152494969756316
"14"	100	1	1400	0.00120713492938057	0.000987144402893946	0.00157033537563713
"15"	100	1	1500	0.00127062666886557	0.00106327671747326	0.0015964760926448
"16"	100	1	1600	0.00150973351723875	0.00116306711698251	0.00162490953352519
"17"	100	1	1700	0.00158000204108866	0.00120399873313839	0.00172258975660224
"18"	100	1	1800	0.00160417969397852	0.00129875743651132	0.00175235924163113
"19"	100	1	1900	0.00164096954226362	0.001438610285061	0.00177852460642016
"20"	100	1	2000	0.00165183039233167	0.00138375788581578	0.00170498135516918
"21"	100	1	2100	0.00177890367014808	0.00146191871691098	0.00186189838215049
"22"	100	1	2200	0.00186815374222456	0.00145743431058835	0.00200805222512144
"23"	100	1	2300	0.00194161189445866	0.00160528155927928	0.00201324606298217
"24"	100	1	2400	0.00196463892929751	0.00175173946509287	0.00207227784830399
"25"	100	1	2500	0.0020701381797435	0.00183947507708634	0.00205946515251086
"26"	100	1	2600	0.00206698600838056	0.00194091785414534	0.00206311993503367
"27"	100	1	2700	0.00215793923868391	0.00208407808164511	0.00195770583118443
"28"	100	1	2800	0.00232025975965906	0.00215472555538081	0.002107471244939
"29"	100	1	2900	0.00235917524673361	0.00217434130979404	0.00207636366582003
