"V1"	"V2"	"V3"	"V4"
"1"	100	0.0349620400337193	0.0352364322550215	0.0190148722321201
"2"	200	0.0343324272703593	0.0351033315961884	0.00563076732848497
"3"	300	0.0363113907196164	0.034822798454745	0.00314831896805769
"4"	400	0.0359444674908555	0.0360647621092499	0.00202846106678405
"5"	500	0.0364371347288993	0.0361621860746553	0.0016291635936964
"6"	600	0.0364679643325659	0.0365257212405494	0.00129568736800068
"7"	700	0.0364850809315455	0.0367378173482065	0.00110041890957833
"8"	800	0.036537596386206	0.0368301549539887	0.000942316987670277
"9"	900	0.0365175564146326	0.0370287731046815	0.000891454482022156
"10"	1000	0.0367359335229907	0.0371517133321859	0.000816313149610701
"11"	1100	0.0369141654577963	0.0371061074818302	0.00075058720020343
"12"	1200	0.0369281805584068	0.0372427348030646	0.000713399479869889
"13"	1300	0.0370505500476932	0.0372205888587295	0.000676820794888878
"14"	1400	0.0369446437441576	0.0371551532756602	0.000625461727821159
"15"	1500	0.0371265613018861	0.0371754113740798	0.000588860949352482
"16"	1600	0.0370419413795807	0.0371934169448586	0.000560453464467629
"17"	1700	0.0370373372480721	0.0372102651481909	0.000554711038792238
"18"	1800	0.0369760334339303	0.037060739584049	0.000522010745813853
"19"	1900	0.0370693565489043	0.0369943320265343	0.000513162519985831
"20"	2000	0.0369346533368856	0.0369207835266702	0.000492531273871504
"21"	2100	0.036914938564441	0.0370039577385148	0.000487800273349305
"22"	2200	0.0370581895536764	0.0370929241474396	0.000463570723629343
"23"	2300	0.0369658230027595	0.0370676294634042	0.000443847824531324
"24"	2400	0.0369677688556299	0.0369928871789708	0.000431222592413201
"25"	2500	0.0370626663308686	0.0370008964963067	0.000421594811778612
"26"	2600	0.037122950555065	0.0369688275509783	0.000403899844053236
"27"	2700	0.0371280041902033	0.0369451729691658	0.000393126925961259
"28"	2800	0.0370405819146831	0.0369886572939641	0.000376994635666113
"29"	2900	0.0370205064615756	0.0369220491216961	0.000364520352107928
"30"	3000	0.0370834456016744	0.036949483002639	0.000369525296519382
"31"	3100	0.0370123744205965	0.0369265604487158	0.000361288011361713
"32"	3200	0.0370049398138681	0.0371444428564684	0.00035246333587064
"33"	3300	0.0370031040220264	0.0371813772805889	0.000353622225972694
"34"	3400	0.0371030596721971	0.0372097902330797	0.000357023199680081
"35"	3500	0.0371118919587933	0.0372322480503454	0.000343024267963448
"36"	3600	0.037002978386239	0.0371477287056688	0.000331148670514412
"37"	3700	0.036916900823656	0.0371290323174368	0.000324786358011757
"38"	3800	0.0370465288012691	0.0371623487021027	0.000319826981113197
"39"	3900	0.0370215057837631	0.0370623683068239	0.0003215935880336
"40"	4000	0.0369862464487062	0.0371354955975456	0.000314349179104019
"41"	4100	0.0371912572702711	0.0372752441139122	0.000324377555610892
"42"	4200	0.0372501792374206	0.0372688573048911	0.000314795818897792
"43"	4300	0.0373866371033939	0.0372448945370432	0.000311861609714252
"44"	4400	0.0374263571869084	0.0373157077206398	0.000312166867346581
"45"	4500	0.0375378489830874	0.0374170551387829	0.000310429105471828
"46"	4600	0.0376286075707982	0.0374750539271949	0.000296765917377326
"47"	4700	0.0375524763627533	0.0376429701020595	0.000292425499377101
"48"	4800	0.0375746348513205	0.037638165604643	0.000288358516741001
"49"	4900	0.0376252457144026	0.0376765786865086	0.000290373380153074
"50"	5000	0.0375983359174953	0.0376451665409883	0.000289545947609654
"51"	5100	0.0375979248612888	0.0376184230230498	0.000294340489556923
"52"	5200	0.0375995299704346	0.0375989549679334	0.000302474009288145
"53"	5300	0.037603195068143	0.037614187682225	0.000299748280691556
"54"	5400	0.0376183289033876	0.0375921633063114	0.000293195320704534
"55"	5500	0.037630142157051	0.0376369710015675	0.000286472487409236
"56"	5600	0.0376437049605175	0.0376562655154357	0.00028964956247764
"57"	5700	0.0376453569466556	0.0375932080436944	0.000286684224357204
"58"	5800	0.037666634753677	0.0376101963602631	0.000283363518885539
"59"	5900	0.0376163327124859	0.0376066191286893	0.000285752133756133
"60"	6000	0.0376025179987165	0.0375663935831345	0.000286638260130629
"61"	6100	0.0376211397988427	0.0376280344982074	0.000283184753398929
"62"	6200	0.0376366095001749	0.0376863373747208	0.000285854749827387
"63"	6300	0.0376636272828445	0.0376912560842294	0.000282129838385322
"64"	6400	0.0376935256924691	0.0377021691612434	0.000272380392652348
"65"	6500	0.0376238776923176	0.0377238753460054	0.000268089781894439
"66"	6600	0.0376346004571958	0.037686567761367	0.000257381397931813
"67"	6700	0.0375567508868714	0.0376708383357234	0.000259970529620598
"68"	6800	0.0376905428163101	0.0376708383357234	0.0002567820073837
"69"	6900	0.03772112497657	0.0376375167852523	0.000256652236295505
"70"	7000	0.0377090042580995	0.0376257415140724	0.000254084766744268
"71"	7100	0.0377300312265144	0.0376040403809984	0.000255991369696069
"72"	7200	0.0377273759841765	0.0376336974172688	0.000254102999657975
"73"	7300	0.0376559002959091	0.037662079752066	0.000257141476273204
"74"	7400	0.0375697297304734	0.0376591047233531	0.000262025115685185
"75"	7500	0.0375968119370372	0.0376540686716074	0.000263180522548723
"76"	7600	0.0375494375651878	0.0376660206431176	0.000264529084692225
"77"	7700	0.0375283278811411	0.0377491281707631	0.000266749886073593
"78"	7800	0.037572446013482	0.03772301590767	0.00026570900073028
"79"	7900	0.0375058996465974	0.037648705724806	0.000264533523999434
"80"	8000	0.0375685332844334	0.0377132341994913	0.000258976604503621
"81"	8100	0.0376447479445815	0.0377416719972169	0.000257834459896488
"82"	8200	0.037664745595519	0.0377504076482621	0.00026460507355558
"83"	8300	0.0376266373467003	0.037776167217738	0.00026141484985645
"84"	8400	0.0375590255705346	0.0377424769926334	0.00026035712383398
"85"	8500	0.0376531647072568	0.0377303590128241	0.000256456972364544
"86"	8600	0.0376383748087241	0.0377542069962672	0.000254775963424044
"87"	8700	0.0376027774997957	0.03785372138903	0.000262782898745667
"88"	8800	0.0376104862040775	0.0379149926626621	0.000258476112963107
"89"	8900	0.0376057575751568	0.0378998792278301	0.000257346627372137
"90"	9000	0.0376919053646931	0.0378704586899581	0.000251972552406527
