"V1"	"V2"	"V3"	"V4"	"V5"	"V6"
"1"	-0.440867429609946	-0.30331312205095	-0.22141548208113	-0.460212616833799	-0.744180551660896	-0.68162809891493
"2"	-0.678797567427987	0.0438604871242855	-0.576212024032101	-0.162317097263722	-0.634937080303701	-0.738529121295823
"3"	-0.527567759550751	0.173174091221492	-0.583580808164119	-0.575728056610807	-0.354393668329259	-1.15930886477493
"4"	-0.926512704311343	0.0136542665648221	-0.560031210911413	0.0286696856231796	-0.912858437746521	-0.531361525288234
"5"	-0.444314669335296	0.18124752209924	-0.108375045844068	-1.15942649854967	-0.263067147236056	-1.26780154439373
"6"	-0.918342796566258	-0.0442033625560766	-0.490690114901647	0.0389439989479979	-0.962546159122334	-0.451746115953649
"7"	-0.500107949960948	-0.390661748470392	-0.321574907786211	-0.201674075678691	-0.89076969843134	-0.523248983464902
"8"	-0.315595429327841	-0.0142211417951485	-0.41914595032351	-0.813120148308723	-0.32981657112299	-1.23226609863223
"9"	-0.245989275238437	-0.566668734022957	-0.184571303826361	-0.345481349380694	-0.812658009261394	-0.530052653207055
"10"	-0.18926081040486	-0.417893444703666	-0.567274578221407	-0.227502728966242	-0.607154255108526	-0.794777307187648
"11"	-0.181955723824279	-0.388823633130381	-0.593506944879482	-0.311402286280984	-0.570779356954661	-0.904909231160466
"12"	-0.412062055254061	-0.0916787457217056	-0.313893102119785	-0.639302676128433	-0.503740800975766	-0.953195778248217
"13"	-0.381758421429614	-0.0495383962009254	-0.77415154906089	-0.216235505174442	-0.431296817630539	-0.990387054235331
"14"	-0.32139595990513	-0.107056381577905	-0.689084906565728	-0.361403070054727	-0.428452341483035	-1.05048797662046
"15"	-0.461957968527912	-0.432976115172679	-0.223526880151872	-0.274890285363938	-0.894934083700591	-0.498417165515811
"16"	-0.1643484806712	-0.171578503703403	-0.488415478209497	-0.715592974430669	-0.335926984374603	-1.20400845264017
"17"	-0.694446552016556	0.272810644926503	-0.664721951906854	-0.281284811172365	-0.421635907090054	-0.94600676307922
"18"	-0.309028677068708	-0.148448419506638	-0.0724736155872108	-0.831846538036752	-0.457477096575346	-0.904320153623963
"19"	-0.626634933614258	-0.118798977092456	-0.111432080962327	-0.528449103337388	-0.745433910706714	-0.639881184299715
"20"	0.00263560859807708	-0.715128913061092	-0.240658686216821	-0.372380152589278	-0.712493304463015	-0.613038838806099
"21"	-0.320814540985619	0.0334149496050474	-1.04423451725554	-0.381242970332556	-0.287399591380571	-1.4254774875881
"22"	-0.417421131515659	-0.538062035838591	-0.21546144222768	-0.254111425335129	-0.95548316735425	-0.469572867562809
"23"	-0.328657225450773	-0.884613179721843	-0.0474781834534757	-0.351638907364971	-1.21327040517262	-0.399117090818447
"24"	-0.650602069357982	-0.0231256035392899	-0.109929857494367	-0.571368170315085	-0.673727672897272	-0.681298027809452
"25"	-0.879491049671368	-0.625700320928011	-0.301517843512965	0.00627553650434039	-1.50519137059938	-0.295242307008625
"26"	-0.632702158984858	-0.830543387659805	0.0831117655566914	-0.350915355802604	-1.46324554664466	-0.267803590245913
"27"	-0.873250068771613	-0.385808357968583	-0.0566577753193847	-0.277692911337927	-1.2590584267402	-0.334350686657312
"28"	-0.0769561685633926	-0.200915076289617	-0.563872777859126	-0.843680501524914	-0.27787124485301	-1.40755327938404
"29"	-1.1675003116793	-1.72829286255134	0.0120031829443439	-0.0829942234836531	-2.89579317423065	-0.0709910405393092
"30"	-0.556006194111396	-0.0602033938548108	-0.221141284007747	-0.582585449524189	-0.616209587966207	-0.803726733531936
"31"	-0.407757991177128	-0.0697686873168025	-0.618750282704723	-0.300848025548604	-0.477526678493931	-0.919598308253326
"32"	-0.00711640046305011	-1.01133448304753	-0.0209454832860107	-0.399292895460819	-1.01845088351058	-0.420238378746829
"33"	-0.804761729104061	-0.105296717800564	-0.376305314980348	-0.112562696764321	-0.910058446904625	-0.488868011744669
"34"	-0.116684849353881	-0.725373176991857	-0.276482088013694	-0.263888866040688	-0.842058026345738	-0.540370954054382
"35"	-0.33082798082792	-0.185412081012957	-0.99908938935055	0.0860375704644122	-0.516240061840877	-0.913051818886137
"36"	-0.41444289264608	0.0418905834920463	-0.566240294009968	-0.626040418745388	-0.372552309154033	-1.19228071275536
"37"	-0.689488553919071	-1.0304967425792	-0.0812093692406725	-0.103146340669087	-1.71998529649827	-0.184355709909759
"38"	-0.358807019940029	-0.364696899878004	-0.247784405622799	-0.425458348253412	-0.723503919818033	-0.673242753876211
"39"	-0.423708364837038	-0.20540070922329	-0.508421765676263	-0.258949239609156	-0.629109074060328	-0.767371005285419
"40"	-0.613912375676746	-0.160491088838954	-0.159749092588778	-0.463070444768683	-0.7744034645157	-0.622819537357461
